Municipios;Sexo;Periodo;Total
39004 Arenas de Iguña;Total;2008;1830
39004 Arenas de Iguña;Total;2007;1867
39004 Arenas de Iguña;Total;2006;1882
39004 Arenas de Iguña;Total;2005;1897
39004 Arenas de Iguña;Total;2004;1918
39004 Arenas de Iguña;Total;2003;1927
39004 Arenas de Iguña;Total;2002;1984
39004 Arenas de Iguña;Total;2001;2014
39004 Arenas de Iguña;Total;2000;2041
39004 Arenas de Iguña;Total;1999;2045
39004 Arenas de Iguña;Total;1998;2085
39004 Arenas de Iguña;Total;1997;""
39004 Arenas de Iguña;Total;1996;2165
39004 Arenas de Iguña;Hombres;2023;880
39004 Arenas de Iguña;Hombres;2022;870
39004 Arenas de Iguña;Hombres;2021;858
39004 Arenas de Iguña;Hombres;2020;848
39004 Arenas de Iguña;Hombres;2019;856
39004 Arenas de Iguña;Hombres;2018;864
39004 Arenas de Iguña;Hombres;2017;867
39004 Arenas de Iguña;Hombres;2016;874
39004 Arenas de Iguña;Hombres;2015;904
39004 Arenas de Iguña;Hombres;2014;915
39004 Arenas de Iguña;Hombres;2013;925
39004 Arenas de Iguña;Hombres;2012;913
39004 Arenas de Iguña;Hombres;2011;925
39004 Arenas de Iguña;Hombres;2010;930
39004 Arenas de Iguña;Hombres;2009;947
39004 Arenas de Iguña;Hombres;2008;943
39004 Arenas de Iguña;Hombres;2007;950
39004 Arenas de Iguña;Hombres;2006;954
39004 Arenas de Iguña;Hombres;2005;982
39004 Arenas de Iguña;Hombres;2004;978
39004 Arenas de Iguña;Hombres;2003;980
39004 Arenas de Iguña;Hombres;2002;1000
39004 Arenas de Iguña;Hombres;2001;1012
39004 Arenas de Iguña;Hombres;2000;1019
39004 Arenas de Iguña;Hombres;1999;1022
39004 Arenas de Iguña;Hombres;1998;1046
39004 Arenas de Iguña;Hombres;1997;""
39004 Arenas de Iguña;Hombres;1996;1084
39004 Arenas de Iguña;Mujeres;2023;862
39004 Arenas de Iguña;Mujeres;2022;864
39004 Arenas de Iguña;Mujeres;2021;845
39004 Arenas de Iguña;Mujeres;2020;817
39004 Arenas de Iguña;Mujeres;2019;823
39004 Arenas de Iguña;Mujeres;2018;812
39004 Arenas de Iguña;Mujeres;2017;823
39004 Arenas de Iguña;Mujeres;2016;837
39004 Arenas de Iguña;Mujeres;2015;848
39004 Arenas de Iguña;Mujeres;2014;860
39004 Arenas de Iguña;Mujeres;2013;886
39004 Arenas de Iguña;Mujeres;2012;879
39004 Arenas de Iguña;Mujeres;2011;881
39004 Arenas de Iguña;Mujeres;2010;884
39004 Arenas de Iguña;Mujeres;2009;890
39004 Arenas de Iguña;Mujeres;2008;887
39004 Arenas de Iguña;Mujeres;2007;917
39004 Arenas de Iguña;Mujeres;2006;928
39004 Arenas de Iguña;Mujeres;2005;915
39004 Arenas de Iguña;Mujeres;2004;940
39004 Arenas de Iguña;Mujeres;2003;947
39004 Arenas de Iguña;Mujeres;2002;984
39004 Arenas de Iguña;Mujeres;2001;1002
39004 Arenas de Iguña;Mujeres;2000;1022
39004 Arenas de Iguña;Mujeres;1999;1023
39004 Arenas de Iguña;Mujeres;1998;1039
39004 Arenas de Iguña;Mujeres;1997;""
39004 Arenas de Iguña;Mujeres;1996;1081
39005 Argoños;Total;2023;1860
39005 Argoños;Total;2022;1848
39005 Argoños;Total;2021;1834
39005 Argoños;Total;2020;1788
39005 Argoños;Total;2019;1748
39005 Argoños;Total;2018;1723
39005 Argoños;Total;2017;1713
39005 Argoños;Total;2016;1720
39005 Argoños;Total;2015;1744
39005 Argoños;Total;2014;1705
39005 Argoños;Total;2013;1711
39005 Argoños;Total;2012;1696
39005 Argoños;Total;2011;1712
39005 Argoños;Total;2010;1663
39005 Argoños;Total;2009;1650
39005 Argoños;Total;2008;1614
39005 Argoños;Total;2007;1535
39005 Argoños;Total;2006;1444
39005 Argoños;Total;2005;1355
39005 Argoños;Total;2004;1260
39005 Argoños;Total;2003;1132
39005 Argoños;Total;2002;1000
39005 Argoños;Total;2001;945
39005 Argoños;Total;2000;868
39005 Argoños;Total;1999;811
39005 Argoños;Total;1998;805
39005 Argoños;Total;1997;""
39005 Argoños;Total;1996;778
39005 Argoños;Hombres;2023;945
39005 Argoños;Hombres;2022;945
39005 Argoños;Hombres;2021;946
39005 Argoños;Hombres;2020;925
39005 Argoños;Hombres;2019;898
39005 Argoños;Hombres;2018;885
39005 Argoños;Hombres;2017;889
39005 Argoños;Hombres;2016;895
39005 Argoños;Hombres;2015;908
39005 Argoños;Hombres;2014;876
39005 Argoños;Hombres;2013;882
39005 Argoños;Hombres;2012;867
39005 Argoños;Hombres;2011;893
39005 Argoños;Hombres;2010;866
39005 Argoños;Hombres;2009;861
39005 Argoños;Hombres;2008;854
39005 Argoños;Hombres;2007;807
39005 Argoños;Hombres;2006;751
39005 Argoños;Hombres;2005;708
39005 Argoños;Hombres;2004;656
39005 Argoños;Hombres;2003;592
39005 Argoños;Hombres;2002;517
39005 Argoños;Hombres;2001;490
39005 Argoños;Hombres;2000;448
39005 Argoños;Hombres;1999;411
39005 Argoños;Hombres;1998;409
39005 Argoños;Hombres;1997;""
39005 Argoños;Hombres;1996;398
39005 Argoños;Mujeres;2023;915
39005 Argoños;Mujeres;2022;903
39005 Argoños;Mujeres;2021;888
39005 Argoños;Mujeres;2020;863
39005 Argoños;Mujeres;2019;850
39005 Argoños;Mujeres;2018;838
39005 Argoños;Mujeres;2017;824
39005 Argoños;Mujeres;2016;825
39005 Argoños;Mujeres;2015;836
39005 Argoños;Mujeres;2014;829
39005 Argoños;Mujeres;2013;829
39005 Argoños;Mujeres;2012;829
39005 Argoños;Mujeres;2011;819
39005 Argoños;Mujeres;2010;797
39005 Argoños;Mujeres;2009;789
39005 Argoños;Mujeres;2008;760
39005 Argoños;Mujeres;2007;728
39005 Argoños;Mujeres;2006;693
39005 Argoños;Mujeres;2005;647
39005 Argoños;Mujeres;2004;604
39005 Argoños;Mujeres;2003;540
39005 Argoños;Mujeres;2002;483
39005 Argoños;Mujeres;2001;455
39005 Argoños;Mujeres;2000;420
39005 Argoños;Mujeres;1999;400
39005 Argoños;Mujeres;1998;396
39005 Argoños;Mujeres;1997;""
39005 Argoños;Mujeres;1996;380
39006 Arnuero;Total;2023;2255
39006 Arnuero;Total;2022;2170
39006 Arnuero;Total;2021;2144
39006 Arnuero;Total;2020;2106
39006 Arnuero;Total;2019;2103
39006 Arnuero;Total;2018;2108
39006 Arnuero;Total;2017;2098
39006 Arnuero;Total;2016;2091
39006 Arnuero;Total;2015;2125
39006 Arnuero;Total;2014;2107
39006 Arnuero;Total;2013;2122
39006 Arnuero;Total;2012;2115
39006 Arnuero;Total;2011;2101
39006 Arnuero;Total;2010;2117
39006 Arnuero;Total;2009;2122
39006 Arnuero;Total;2008;2141
39006 Arnuero;Total;2007;2073
39006 Arnuero;Total;2006;2026
39006 Arnuero;Total;2005;1956
39006 Arnuero;Total;2004;1937
39006 Arnuero;Total;2003;1906
39006 Arnuero;Total;2002;1900
39006 Arnuero;Total;2001;1796
39006 Arnuero;Total;2000;1783
39006 Arnuero;Total;1999;1787
39006 Arnuero;Total;1998;1739
39006 Arnuero;Total;1997;""
39006 Arnuero;Total;1996;1811
39006 Arnuero;Hombres;2023;1135
39006 Arnuero;Hombres;2022;1092
39006 Arnuero;Hombres;2021;1067
39006 Arnuero;Hombres;2020;1048
39006 Arnuero;Hombres;2019;1062
39006 Arnuero;Hombres;2018;1074
39006 Arnuero;Hombres;2017;1061
39006 Arnuero;Hombres;2016;1055
39006 Arnuero;Hombres;2015;1073
39006 Arnuero;Hombres;2014;1065
39006 Arnuero;Hombres;2013;1071
39006 Arnuero;Hombres;2012;1073
39006 Arnuero;Hombres;2011;1071
39006 Arnuero;Hombres;2010;1072
39006 Arnuero;Hombres;2009;1070
39006 Arnuero;Hombres;2008;1092
39006 Arnuero;Hombres;2007;1049
39006 Arnuero;Hombres;2006;1029
39006 Arnuero;Hombres;2005;989
39006 Arnuero;Hombres;2004;977
39006 Arnuero;Hombres;2003;964
39006 Arnuero;Hombres;2002;965
39006 Arnuero;Hombres;2001;918
39006 Arnuero;Hombres;2000;900
39006 Arnuero;Hombres;1999;899
39006 Arnuero;Hombres;1998;876
39006 Arnuero;Hombres;1997;""
39006 Arnuero;Hombres;1996;908
39006 Arnuero;Mujeres;2023;1120
39006 Arnuero;Mujeres;2022;1078
39006 Arnuero;Mujeres;2021;1077
39006 Arnuero;Mujeres;2020;1058
39006 Arnuero;Mujeres;2019;1041
39006 Arnuero;Mujeres;2018;1034
39006 Arnuero;Mujeres;2017;1037
39006 Arnuero;Mujeres;2016;1036
39006 Arnuero;Mujeres;2015;1052
39006 Arnuero;Mujeres;2014;1042
39006 Arnuero;Mujeres;2013;1051
39006 Arnuero;Mujeres;2012;1042
39006 Arnuero;Mujeres;2011;1030
39006 Arnuero;Mujeres;2010;1045
39006 Arnuero;Mujeres;2009;1052
39006 Arnuero;Mujeres;2008;1049
39006 Arnuero;Mujeres;2007;1024
39006 Arnuero;Mujeres;2006;997
39006 Arnuero;Mujeres;2005;967
39006 Arnuero;Mujeres;2004;960
39006 Arnuero;Mujeres;2003;942
39006 Arnuero;Mujeres;2002;935
39006 Arnuero;Mujeres;2001;878
39006 Arnuero;Mujeres;2000;883
39006 Arnuero;Mujeres;1999;888
